call_id,service_length,arrival_time,interarrival_time,server chosen
201,5,1/4/2021 12:55,2,S4
202,1,1/4/2021 13:00,5,S4
203,2,1/4/2021 13:03,2,S4
204,10,1/4/2021 13:05,2,S4
205,6,1/4/2021 13:06,0,S4
206,4,1/4/2021 13:07,0,S4
207,7,1/4/2021 13:09,2,S4
208,3,1/4/2021 13:10,0,S4
209,6,1/4/2021 13:11,1,S3
210,11,1/4/2021 13:13,1,S3
211,0,1/4/2021 13:20,7,S4
212,1,1/4/2021 13:21,0,S4
213,5,1/4/2021 13:23,2,S4
214,1,1/4/2021 13:26,3,S4
215,2,1/4/2021 13:27,0,S4
216,2,1/4/2021 13:37,10,S4
217,3,1/4/2021 13:40,3,S4
218,5,1/4/2021 13:41,0,S4
219,0,1/4/2021 13:41,0,S4
220,14,1/4/2021 13:55,13,S4
221,2,1/4/2021 13:58,3,S4
222,0,1/4/2021 14:06,8,S4
223,3,1/4/2021 14:06,0,S4
224,21,1/4/2021 14:15,9,S4
225,1,1/4/2021 14:20,4,S4
226,4,1/4/2021 14:23,3,S4
227,5,1/4/2021 14:30,7,S4
228,5,1/4/2021 14:32,1,S3
229,2,1/4/2021 14:41,8,S4
230,1,1/4/2021 14:41,0,S4
231,7,1/4/2021 14:42,0,S4
232,16,1/4/2021 14:46,3,S4
233,14,1/4/2021 14:54,8,S4
234,1,1/4/2021 14:54,0,S4
235,8,1/4/2021 15:02,7,S4
236,19,1/4/2021 15:08,6,S4
237,3,1/4/2021 15:09,0,S4
238,5,1/4/2021 15:20,11,S4
239,10,1/4/2021 15:22,1,S3
240,12,1/4/2021 15:23,0,S4
241,2,1/4/2021 15:24,1,S3
242,1,1/4/2021 15:25,0,S4
243,2,1/4/2021 15:32,7,S4
244,6,1/4/2021 15:32,0,S4
245,6,1/4/2021 15:36,3,S4
246,0,1/4/2021 15:37,0,S4
247,7,1/4/2021 15:42,5,S4
248,2,1/4/2021 15:44,1,S3
249,3,1/4/2021 15:44,0,S4
250,6,1/4/2021 15:51,6,S4
251,15,1/4/2021 15:56,4,S4
252,3,1/4/2021 15:56,0,S4
253,3,1/4/2021 15:58,2,S4
254,7,1/4/2021 16:00,1,S3
255,0,1/4/2021 16:16,16,S4
256,3,1/4/2021 16:16,0,S4
257,0,1/4/2021 16:25,8,S4
258,3,1/4/2021 16:28,2,S4
259,7,1/4/2021 16:33,4,S4
260,6,1/4/2021 16:38,5,S4
261,2,1/4/2021 16:39,0,S4
262,14,1/4/2021 16:51,11,S4
263,7,1/4/2021 16:51,0,S4
264,5,1/4/2021 16:51,0,S4
265,0,1/4/2021 16:51,0,S4
266,2,1/4/2021 16:52,0,S4
267,0,1/4/2021 16:52,0,S4
268,3,1/4/2021 16:53,0,S4
269,1,1/4/2021 17:02,8,S4
270,2,1/4/2021 17:15,13,S4
271,2,1/4/2021 17:18,2,S4
272,14,1/4/2021 17:19,0,S4
273,3,1/4/2021 17:23,4,S4
274,0,1/4/2021 17:23,0,S4
275,3,1/4/2021 17:37,14,S4
276,2,1/4/2021 17:45,7,S4
277,4,1/4/2021 17:48,2,S4
278,5,1/4/2021 17:51,3,S4
279,1,1/4/2021 17:53,1,S3
280,5,1/4/2021 17:54,0,S4
281,2,1/4/2021 17:55,1,S3
282,4,1/5/2021 8:00,844,S4
283,3,1/5/2021 8:02,2,S4
284,1,1/5/2021 8:06,3,S4
285,1,1/5/2021 8:09,3,S4
286,0,1/5/2021 8:10,1,S3
287,0,1/5/2021 8:12,1,S3
288,9,1/5/2021 8:14,1,S3
289,0,1/5/2021 8:17,3,S4
290,7,1/5/2021 8:21,3,S4
291,0,1/5/2021 8:25,4,S4
292,5,1/5/2021 8:34,8,S4
293,7,1/5/2021 8:45,11,S4
294,2,1/5/2021 8:48,2,S4
295,0,1/5/2021 8:54,6,S4
296,5,1/5/2021 9:03,8,S4
297,2,1/5/2021 9:04,1,S3
298,7,1/5/2021 9:07,2,S4
299,2,1/5/2021 9:10,2,S4
300,13,1/5/2021 9:17,7,S4
301,1,1/5/2021 9:19,1,S3
302,2,1/5/2021 9:23,3,S4
303,0,1/5/2021 9:24,1,S3
304,0,1/5/2021 9:39,14,S4
305,4,1/5/2021 9:39,0,S4
306,18,1/5/2021 9:40,0,S4
307,12,1/5/2021 9:53,13,S4
308,0,1/5/2021 10:00,6,S4
309,0,1/5/2021 10:00,0,S4
310,4,1/5/2021 10:02,2,S4
311,0,1/5/2021 10:08,5,S4
312,3,1/5/2021 10:12,4,S4
313,2,1/5/2021 10:16,4,S4
314,22,1/5/2021 10:17,1,S3
315,5,1/5/2021 10:22,4,S4
316,3,1/5/2021 10:26,4,S4
317,0,1/5/2021 10:39,12,S4
318,0,1/5/2021 10:41,1,S3
319,2,1/5/2021 10:47,5,S4
320,1,1/5/2021 10:50,3,S4
321,3,1/5/2021 10:53,2,S4
322,7,1/5/2021 10:55,2,S4
323,3,1/5/2021 10:56,0,S4
324,1,1/5/2021 11:03,6,S4
325,4,1/5/2021 11:07,3,S4
326,2,1/5/2021 11:13,6,S4
327,12,1/5/2021 11:14,0,S4
328,4,1/5/2021 11:26,12,S4
329,1,1/5/2021 11:27,1,S3
330,9,1/5/2021 11:28,1,S3
331,13,1/5/2021 11:31,3,S4
332,7,1/5/2021 11:33,1,S3
333,0,1/5/2021 11:37,3,S4
334,3,1/5/2021 11:38,1,S3
335,2,1/5/2021 11:45,7,S4
336,7,1/5/2021 11:49,3,S4
337,1,1/5/2021 11:51,2,S4
338,6,1/5/2021 12:00,8,S4
339,7,1/5/2021 12:02,2,S4
340,0,1/5/2021 12:05,2,S4
341,0,1/5/2021 12:17,12,S4
342,5,1/5/2021 12:20,2,S4
343,2,1/5/2021 12:24,3,S4
344,0,1/5/2021 12:30,6,S4
345,0,1/5/2021 12:33,3,S4
346,0,1/5/2021 12:34,0,S4
347,9,1/5/2021 12:45,11,S4
348,3,1/5/2021 12:45,0,S4
