customerId,arrivalTime,waitingTime1,waitingTime2,servingTime1,servingTime2
1,Fri Jan 01 08:00:00 IST 2021,0,0,1,14
2,Fri Jan 01 08:02:00 IST 2021,12,12,1,4
3,Fri Jan 01 08:08:00 IST 2021,11,11,1,1
4,Fri Jan 01 08:09:00 IST 2021,11,11,1,4
5,Fri Jan 01 08:11:00 IST 2021,14,14,1,4
6,Fri Jan 01 08:22:00 IST 2021,7,7,1,5
7,Fri Jan 01 08:23:00 IST 2021,12,12,1,10
8,Fri Jan 01 08:23:00 IST 2021,22,22,1,5
9,Fri Jan 01 08:25:00 IST 2021,26,26,1,0
10,Fri Jan 01 08:27:00 IST 2021,24,24,1,9
11,Fri Jan 01 08:28:00 IST 2021,33,33,1,2
12,Fri Jan 01 08:28:00 IST 2021,35,35,1,3
13,Fri Jan 01 08:36:00 IST 2021,31,31,1,10
14,Fri Jan 01 08:36:00 IST 2021,41,41,1,0
15,Fri Jan 01 08:43:00 IST 2021,34,34,1,12
16,Fri Jan 01 08:43:00 IST 2021,46,46,1,4
17,Fri Jan 01 08:46:00 IST 2021,48,48,1,10
18,Fri Jan 01 08:47:00 IST 2021,57,57,1,0
19,Fri Jan 01 08:53:00 IST 2021,51,51,1,22
20,Fri Jan 01 08:54:00 IST 2021,73,73,1,34
21,Fri Jan 01 09:00:00 IST 2021,101,101,1,0
22,Fri Jan 01 09:09:00 IST 2021,93,93,1,3
23,Fri Jan 01 09:12:00 IST 2021,93,93,1,1
24,Fri Jan 01 09:14:00 IST 2021,92,92,1,4
25,Fri Jan 01 09:23:00 IST 2021,88,88,1,8
26,Fri Jan 01 09:36:00 IST 2021,83,83,1,8
27,Fri Jan 01 09:48:00 IST 2021,79,79,1,8
28,Fri Jan 01 09:52:00 IST 2021,84,84,1,6
29,Fri Jan 01 09:56:00 IST 2021,86,86,1,3
30,Fri Jan 01 09:58:00 IST 2021,88,88,1,5
31,Fri Jan 01 10:01:00 IST 2021,91,91,1,10
32,Fri Jan 01 10:01:00 IST 2021,101,101,1,3
33,Fri Jan 01 10:03:00 IST 2021,102,102,1,6
34,Fri Jan 01 10:04:00 IST 2021,107,107,1,3
35,Fri Jan 01 10:12:00 IST 2021,102,102,1,6
36,Fri Jan 01 10:12:00 IST 2021,108,108,1,6
37,Fri Jan 01 10:27:00 IST 2021,100,100,1,4
38,Fri Jan 01 10:43:00 IST 2021,89,89,1,9
39,Fri Jan 01 10:50:00 IST 2021,91,91,1,2
40,Fri Jan 01 10:58:00 IST 2021,85,85,1,1
41,Fri Jan 01 11:04:00 IST 2021,81,81,1,1
42,Fri Jan 01 11:08:00 IST 2021,79,79,1,1
43,Fri Jan 01 11:10:00 IST 2021,78,78,1,3
44,Fri Jan 01 11:16:00 IST 2021,76,76,1,0
45,Fri Jan 01 11:18:00 IST 2021,74,74,1,1
46,Fri Jan 01 11:22:00 IST 2021,72,72,1,8
47,Fri Jan 01 11:24:00 IST 2021,78,78,1,1
48,Fri Jan 01 11:28:00 IST 2021,76,76,1,1
49,Fri Jan 01 11:28:00 IST 2021,77,77,1,2
50,Fri Jan 01 11:31:00 IST 2021,76,76,1,1
51,Fri Jan 01 11:36:00 IST 2021,73,73,1,6
52,Fri Jan 01 11:36:00 IST 2021,79,79,1,7
53,Fri Jan 01 11:37:00 IST 2021,85,85,1,0
54,Fri Jan 01 11:42:00 IST 2021,81,81,1,7
