call_id,service_length,arrival_time,interarrival_time
401,22,2021-01-05 16:27:00,1
402,0,2021-01-05 16:27:25,0
403,1,2021-01-05 16:33:49,6
404,0,2021-01-05 16:34:15,0
405,6,2021-01-05 16:36:09,1
406,3,2021-01-05 16:39:28,3
407,4,2021-01-05 16:40:15,0
408,1,2021-01-05 16:43:31,3
409,4,2021-01-05 16:43:56,0
410,3,2021-01-05 16:45:38,1
411,1,2021-01-05 16:48:58,3
412,6,2021-01-05 17:01:00,12
413,12,2021-01-05 17:08:30,7
414,1,2021-01-05 17:08:36,0
415,9,2021-01-05 17:12:58,4
416,5,2021-01-05 17:26:07,13
417,6,2021-01-05 17:28:58,2
418,9,2021-01-05 17:32:49,3
419,1,2021-01-05 17:36:48,3
420,4,2021-01-05 17:37:57,1
421,2,2021-01-05 17:44:12,6
422,3,2021-01-05 17:47:56,3
423,1,2021-01-05 17:54:16,6
424,0,2021-01-06 08:00:00,845
425,7,2021-01-06 08:05:29,5
426,1,2021-01-06 08:05:45,0
427,1,2021-01-06 08:18:22,12
428,0,2021-01-06 08:23:02,4
429,3,2021-01-06 08:34:19,11
430,3,2021-01-06 08:37:44,3
431,18,2021-01-06 08:37:57,0
432,0,2021-01-06 08:38:16,0
433,2,2021-01-06 08:38:18,0
434,3,2021-01-06 08:40:49,2
435,3,2021-01-06 08:42:51,2
436,1,2021-01-06 08:43:22,0
437,0,2021-01-06 08:49:23,6
438,5,2021-01-06 08:56:28,7
439,0,2021-01-06 08:59:04,2
440,0,2021-01-06 09:05:08,6
441,10,2021-01-06 09:05:21,0
442,5,2021-01-06 09:18:25,13
443,5,2021-01-06 09:23:46,5
444,0,2021-01-06 09:25:26,1
445,1,2021-01-06 09:28:57,3
446,3,2021-01-06 09:30:36,1
447,0,2021-01-06 09:31:22,0
448,22,2021-01-06 09:40:24,9
449,5,2021-01-06 09:43:19,2
450,0,2021-01-06 09:55:19,12
451,5,2021-01-06 09:57:30,2
452,1,2021-01-06 09:59:41,2
453,0,2021-01-06 10:07:31,7
454,0,2021-01-06 10:13:54,6
455,20,2021-01-06 10:15:40,1
456,2,2021-01-06 10:16:34,0
457,5,2021-01-06 10:17:48,1
458,2,2021-01-06 10:18:37,0
459,2,2021-01-06 10:25:09,6
460,2,2021-01-06 10:25:39,0
461,1,2021-01-06 10:29:28,3
462,1,2021-01-06 10:30:52,1
463,15,2021-01-06 10:43:05,12
464,5,2021-01-06 10:47:20,4
465,0,2021-01-06 10:49:02,1
466,4,2021-01-06 10:54:18,5
467,3,2021-01-06 11:11:17,16
468,3,2021-01-06 11:12:16,0
469,1,2021-01-06 11:12:54,0
470,4,2021-01-06 11:18:53,5
471,6,2021-01-06 11:19:52,0
472,0,2021-01-06 11:23:00,3
473,2,2021-01-06 11:25:39,2
474,1,2021-01-06 11:35:54,10
475,4,2021-01-06 11:38:08,2
476,8,2021-01-06 11:47:36,9
477,0,2021-01-06 11:49:24,1
478,4,2021-01-06 11:53:31,4
479,7,2021-01-06 11:55:23,1
480,0,2021-01-06 11:55:40,0
481,1,2021-01-06 11:58:27,2
482,3,2021-01-06 11:59:41,1
483,1,2021-01-06 12:02:58,3
484,0,2021-01-06 12:07:17,4
485,0,2021-01-06 12:07:58,0
486,4,2021-01-06 12:08:16,0
487,4,2021-01-06 12:08:48,0
488,10,2021-01-06 12:11:43,2
489,6,2021-01-06 12:12:05,0
490,5,2021-01-06 12:14:28,2
491,0,2021-01-06 12:22:10,7
492,3,2021-01-06 12:35:22,13
493,3,2021-01-06 12:36:14,0
494,0,2021-01-06 12:36:44,0
495,8,2021-01-06 12:42:23,5
496,7,2021-01-06 12:42:28,0
497,2,2021-01-06 12:44:25,1
498,3,2021-01-06 12:45:36,1
499,3,2021-01-06 12:53:19,7
500,0,2021-01-06 12:54:36,1
501,0,2021-01-06 12:56:09,1
502,1,2021-01-06 12:59:10,3
503,2,2021-01-06 13:02:58,3
504,0,2021-01-06 13:06:52,3
505,13,2021-01-06 13:08:27,1
506,8,2021-01-06 13:12:20,3
507,6,2021-01-06 13:13:17,0
508,17,2021-01-06 13:16:40,3
509,0,2021-01-06 13:18:32,1
510,7,2021-01-06 13:19:42,1
